Barcode Number,id,Product name,Price,Description,Quantity ,First Name,Last Name,Phone number(Cust),Purchase Date,Last Stock Date,Brand
69114-2001,133,Chutney Sauce,$4.21,"Drainage of Appendix, Percutaneous Approach",133,Rebecka,Beavington,916-803-2109,1/31/2021,11/30/2021,Narasoo Hair Tonic
44224-1999,134,Pepper - Orange,$483.74,"Occlusion of Right Lesser Saphenous Vein, Percutaneous Endoscopic Approach",134,Ceciley,Beaufoy,688-599-9111,1/9/2020,6/22/2022,Easy Care First Aid - All Purpose
68084-424,135,Beef - Striploin Aa,$327.25,"Irrigation of Genitourinary Tract using Irrigating Substance, Via Natural or Artificial Opening Endoscopic, Diagnostic",135,Rahal,Ivakin,685-157-6883,11/29/2021,3/21/2021,Oxandrolone
58118-0322,136,Cheese - Fontina,$359.53,"Release Cerebral Meninges, Percutaneous Approach",136,Jacquelin,Grandham,623-350-4609,8/24/2022,7/12/2020,Glimepiride
59779-303,137,"Soup - Campbells, Cream Of",$367.92,"Supplement Right Femoral Region with Nonautologous Tissue Substitute, Open Approach",137,Layla,Rzehorz,496-508-6413,5/4/2021,6/20/2022,Sodium Chloride
49348-813,138,Table Cloth - 53x69 Colour,$14.90,"Insertion of Infusion Device into Middle Colic Artery, Percutaneous Endoscopic Approach",138,Flem,Nye,633-677-9794,10/17/2019,1/25/2023,Cold Sore Treatment
36800-578,139,Island Oasis - Pina Colada,$40.59,"Transfer Optic Nerve to Vagus Nerve, Open Approach",139,Xymenes,Bridat,673-120-8376,10/10/2018,1/7/2019,Topcare tussin dm
60429-785,140,Wonton Wrappers,$201.33,"Replacement of Right Palatine Bone with Nonautologous Tissue Substitute, Open Approach",140,Wye,Rosson,440-541-6775,6/20/2020,3/14/2020,Warfarin Sodium
57896-638,141,Garlic - Elephant,$304.43,"Occlusion of Left Internal Jugular Vein with Extraluminal Device, Percutaneous Approach",141,Rod,Rivel,600-925-6439,9/15/2020,8/9/2018,GERI-MOX MAX CHERRY
24236-577,142,Skewers - Bamboo,$41.22,"Destruction of Head and Neck Bursa and Ligament, Percutaneous Endoscopic Approach",142,Glendon,Tyson,878-363-1041,5/31/2019,8/3/2018,Sulfamethoxazole and Trimethoprim
59746-330,143,Honey - Comb,$490.17,"Revision of Nonautologous Tissue Substitute in Tricuspid Valve, Percutaneous Endoscopic Approach",143,Priscilla,Darke,916-545-9185,2/5/2021,6/24/2019,DONEPEZIL HYDROCHLORIDE
16590-959,144,Bread - Flat Bread,$368.15,"Excision of Bilateral Spermatic Cords, Open Approach, Diagnostic",144,Basilio,Palek,631-312-3040,1/25/2020,11/23/2022,DETROL
16252-572,145,"Cheese - Brie, Cups 125g",$65.46,"Fluoroscopy of Bilateral Upper Extremity Arteries using Other Contrast, Laser Intraoperative",145,Henrietta,Cheesley,516-279-4550,8/20/2020,11/15/2019,Ramipril
61722-066,146,Frangelico,$247.15,"Bypass Right Brachial Vein to Upper Vein with Autologous Arterial Tissue, Percutaneous Endoscopic Approach",146,Bidget,Loughman,549-343-0710,8/20/2022,8/21/2019,flormar Foundation Sunscreen Broad Spectrum SPF 20 LF19 BEIGE
30698-201,147,Bread - Raisin,$47.60,"Release Left Common Iliac Artery, Percutaneous Endoscopic Approach",147,Madelin,Bilbrook,887-535-9018,3/6/2021,10/14/2020,Parlodel
24385-432,148,Coffee - 10oz Cup 92961,$172.46,"Bypass Right Common Iliac Artery to Right External Iliac Artery with Autologous Venous Tissue, Open Approach",148,Rozina,Maisey,816-426-3306,12/28/2020,11/5/2021,Good Neighbor Pharmacy Nasal Decongestant
63739-110,149,Cheese - Ermite Bleu,$454.59,"Occlusion of Right Main Bronchus with Intraluminal Device, Via Natural or Artificial Opening Endoscopic",149,Letta,Rainford,181-298-5240,11/25/2020,12/17/2019,Folic Acid
42291-220,150,"Beef - Tongue, Cooked",$32.96,"Insertion of Infusion Device into Right Knee Joint, Percutaneous Approach",150,Jayme,O'Currane,249-254-4348,7/24/2022,5/13/2022,Cetirizine Hydrochloride
36987-2156,151,Onion - Dried,$223.18,"Insertion of Radioactive Element into Left Lower Arm, Percutaneous Approach",151,Sig,Kiddell,696-431-8850,3/8/2021,10/4/2018,Oat Smut
51367-017,152,Olives - Kalamata,$63.41,"Replacement of Left Pelvic Bone with Synthetic Substitute, Open Approach",152,Lemmie,Moxted,769-915-5697,5/31/2021,9/8/2019,Pain Relieving Chi Len Oil
55648-557,153,Sage Ground Wiberg,$78.43,"Repair Right Sublingual Gland, Percutaneous Approach",153,Margaret,Stopher,708-595-4474,12/21/2018,12/7/2020,RISPERIDONE
49288-0170,154,Sprouts - Baby Pea Tendrils,$480.53,"Excision of Male Perineum, Open Approach, Diagnostic",154,Dorri,Stedell,355-436-7193,5/9/2019,4/3/2019,Yellow Dock
54982-0001,155,Muffin Mix - Raisin Bran,$170.59,"Release Left Parietal Bone, Percutaneous Approach",155,Maible,Neilands,406-666-3738,10/10/2020,1/3/2020,Oxygen
43857-0045,156,Mushroom - Crimini,$492.97,"Drainage of Right Renal Vein with Drainage Device, Open Approach",156,Milena,Trevethan,757-683-9019,1/30/2020,4/6/2020,LGB
59779-630,157,Garbage Bags - Black,$283.01,Beam Radiation of Pancreas using Electrons,157,Rheba,Lee,401-804-0695,12/15/2018,6/14/2021,CVS Pharmacy
10544-047,158,"Veal - Tenderloin, Untrimmed",$85.18,"Transfer Accessory Nerve to Trochlear Nerve, Percutaneous Endoscopic Approach",158,Flem,O'Mahoney,662-494-0523,12/27/2022,11/18/2020,Hydrochlorothiazide
36987-2391,159,Sole - Fillet,$356.61,"Repair Right Main Bronchus, Via Natural or Artificial Opening Endoscopic",159,Johny,Fick,915-935-8116,8/15/2019,7/12/2021,Salt Grass
62175-272,160,Bowl 12 Oz - Showcase 92012,$257.91,"Removal of Autologous Tissue Substitute from Kidney, Open Approach",160,Kalinda,Atyea,111-501-1552,8/23/2020,12/12/2019,Oxybutynin Chloride
60512-6036,161,Langers - Mango Nectar,$47.91,"Revision of Monitoring Device in Right Lung, Open Approach",161,Ethelind,Dealy,999-427-4352,3/24/2023,10/8/2020,ARTHRITIS PAIN
54575-350,162,Laundry - Bag Cloth,$110.54,"Drainage of Cul-de-sac, Open Approach, Diagnostic",162,Annissa,Doag,368-770-1936,8/27/2019,6/13/2021,BEEF
21695-342,163,"Wine - White, Antinore Orvieto",$95.60,"Fusion of Right Acromioclavicular Joint with Internal Fixation Device, Open Approach",163,Jeramie,Sapwell,176-848-9797,6/12/2019,2/6/2020,LubriFresh P.M.
42254-228,164,Wine - Redchard Merritt,$440.07,"Revision of Bone Growth Stimulator in Nasal Bone, Percutaneous Approach",164,Clerkclaude,Buxsey,297-522-7922,7/24/2021,5/30/2022,HYDROCODONE BITARTRATE AND ACETAMINOPHEN
11822-4601,165,"Mushroom - Morels, Dry",$34.87,"Excision of Larynx, Via Natural or Artificial Opening Endoscopic, Diagnostic",165,Edee,Catford,195-619-0343,12/11/2018,3/28/2022,CVS fast relief laxative
37012-939,166,The Pop Shoppe - Lime Rickey,$8.42,"Fusion of Left Finger Phalangeal Joint with External Fixation Device, Open Approach",166,Perl,Bakster,459-777-5931,10/7/2020,4/28/2019,Cetirizine Hydrochloride
16252-573,167,Wine - Ej Gallo Sonoma,$309.52,Plain Radiography of Right Renal Artery using Other Contrast,167,Drew,Marusic,711-431-4820,8/24/2018,9/21/2019,Ramipril
60986-1020,168,Juice - Apple Cider,$139.95,"Revision of Internal Fixation Device in Right Hip Joint, External Approach",168,Lisabeth,Samms,984-380-4250,2/7/2021,2/5/2021,Solidago
0942-6484,169,Beer - Camerons Cream Ale,$396.94,"Eye, Excision",169,Kimbell,Bedin,919-780-6801,2/28/2021,1/3/2020,ADSOL Red Cell Preservation Solution System in Plastic Container (PL 146 Plastic)
33261-390,170,Arizona - Plum Green Tea,$22.43,"Drainage of Right Wrist Bursa and Ligament, Open Approach, Diagnostic",170,Orville,Rosberg,549-576-7801,7/1/2021,8/28/2018,Phendimetrazine Tartrate
31722-730,171,Gelatine Leaves - Envelopes,$412.29,"Drainage of Lingula Bronchus, Open Approach",171,Yehudit,Ecclesall,913-228-4733,4/10/2019,11/27/2019,Irbesartan
0006-0705,172,"Juice - Orange, Concentrate",$332.88,"Excision of Left Hand Vein, Percutaneous Endoscopic Approach, Diagnostic",172,Durand,Moller,795-893-7462,10/20/2021,10/28/2020,NOROXIN
50544-101,173,Oil - Cooking Spray,$221.45,"Removal of Nonautologous Tissue Substitute from Heart, Open Approach",173,Peri,Ambler,904-541-2587,11/2/2020,1/22/2020,AcneFree Severe Maximum Strength Repair Lotion
50988-210,174,Veal - Bones,$130.96,"Fragmentation in Left Vitreous, External Approach",174,Veronica,Cardinale,592-492-2176,1/6/2020,10/30/2022,Antibacterial Hand Soap
61957-0101,175,Ostrich - Prime Cut,$57.87,"Computerized Tomography (CT Scan) of Kidney Transplant using Low Osmolar Contrast, Unenhanced and Enhanced",175,Robin,Rentenbeck,164-916-3832,9/23/2019,5/18/2020,Dior Bronze Collagen Activ SPF 15 001
42291-723,176,Wine - Coteaux Du Tricastin Ac,$39.78,"Restriction of Right Common Carotid Artery with Bioactive Intraluminal Device, Percutaneous Endoscopic Approach",176,Aaron,MacAllaster,749-660-7506,10/8/2020,8/15/2020,Riluzole
53345-004,177,Wine - Semi Dry Riesling Vineland,$157.48,"Dilation of Left Ureter, Via Natural or Artificial Opening",177,Nikolai,Silkston,311-390-7482,2/10/2022,10/10/2022,DayTime Cold and Flu
41163-521,178,Garbage Bag - Clear,$96.16,"Replacement of Right Elbow Joint with Nonautologous Tissue Substitute, Open Approach",178,Marcela,Kenford,415-586-9375,4/26/2022,8/13/2020,equaline ibuprofen
21695-072,179,Maintenance Removal Charge,$268.96,High Dose Rate (HDR) Brachytherapy of Parathyroid Glands using Other Isotope,179,Tommi,Fone,831-736-5456,2/28/2022,12/15/2018,Risperidone
0023-4951,180,Bread - Corn Muffaletta,$495.46,"Release Right Basilic Vein, Percutaneous Approach",180,Renato,Decourt,549-332-6189,4/10/2019,6/3/2021,SkinMedica Purifying Toner
64525-0553,181,"Lobster - Tail, 3 - 4 Oz",$493.62,"Revision of Synthetic Substitute in Sacrum, Percutaneous Endoscopic Approach",181,Tabby,Hymans,104-339-5414,7/30/2020,5/4/2022,TopCare day time severe cold and cough
35356-753,182,Puree - Blackcurrant,$165.68,Manual Therapy Techniques Treatment of Integumentary System - Head and Neck,182,Estella,Hollier,622-357-4449,2/7/2020,4/9/2023,Triamcinolone Acetonide
36987-3199,183,Cheese - Gouda,$402.88,"Removal of Drainage Device from Nose, Percutaneous Approach",183,Maris,Bezemer,671-389-1815,12/26/2021,12/23/2019,Firebush/Burning Bush
0641-0367,184,Potatoes - Mini Red,$285.16,"Occlusion of Right Posterior Tibial Artery, Percutaneous Approach",184,Shannan,Humpherson,560-826-6145,11/1/2019,10/21/2018,Dexamethasone Sodium Phosphate
0591-5553,185,Rappini - Andy Boy,$429.17,"Release Transverse Colon, Percutaneous Endoscopic Approach",185,Adaline,Pucknell,549-872-8543,8/12/2018,9/10/2019,Doxycycline Hyclate
53808-0981,186,Apples - Sliced / Wedge,$467.15,"Drainage of Left Patella with Drainage Device, Percutaneous Approach",186,Ivy,Bugge,126-970-8119,7/7/2021,1/30/2022,Sulfamethoxazole and Trimethoprim
42507-157,187,"Lemonade - Strawberry, 591 Ml",$64.19,"Excision of Left Lower Lobe Bronchus, Via Natural or Artificial Opening Endoscopic",187,Rodi,Biers,891-445-2492,9/25/2021,3/26/2023,HYVEE
63739-494,188,Cloves - Ground,$446.74,"Drainage of Cerebral Meninges with Drainage Device, Open Approach",188,Trudy,Pikhno,349-736-5571,1/19/2019,11/11/2018,Fluoxetine
36987-2799,189,Towel Multifold,$210.71,Beam Radiation of Pelvis Lymphatics using Photons 1 - 10 MeV,189,Ronnie,Begwell,859-817-6965,7/19/2019,12/31/2018,White Mulberry
36987-3068,190,Limes,$75.15,"Supplement Carina with Autologous Tissue Substitute, Open Approach",190,Lynnette,Heinlein,571-338-6218,1/3/2021,5/20/2019,Black Walnut
43419-019,191,Milk - 2% 250 Ml,$192.31,"Release Lumbar Plexus, Open Approach",191,Hart,Fritchly,525-119-1781,6/22/2019,12/26/2021,Sulwhasoo Lumitouch Base
37000-099,192,Pasta - Cheese / Spinach Bauletti,$165.17,"Excision of Left Nipple, Open Approach",192,Melisent,Steventon,326-643-4936,12/27/2018,11/21/2020,Head and Shoulders
0472-0345,193,Cookies - Englishbay Oatmeal,$364.73,"Supplement Left Neck Muscle with Nonautologous Tissue Substitute, Open Approach",193,Cherey,Hannaway,804-710-2589,12/31/2021,1/20/2023,Hydrocortisone
49999-455,194,Wine - Beringer Founders Estate,$26.03,"Resection of Bilateral Adrenal Glands, Percutaneous Endoscopic Approach",194,Gothart,Attersoll,863-428-7721,2/2/2019,7/7/2019,Avelox
0378-3547,195,Lettuce - Boston Bib - Organic,$52.63,"Dilation of Left Common Carotid Artery with Three Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach",195,Rosanna,Bradberry,730-761-0004,4/28/2022,7/28/2021,Mercaptopurine
43419-382,196,"Club Soda - Schweppes, 355 Ml",$361.36,"Inspection of Right Wrist Joint, Open Approach",196,Terrel,Stockin,598-846-5796,11/19/2019,11/3/2020,IOPE AIR CUSHION XP
62011-0051,197,Cheese - Grana Padano,$269.99,"Division of Abdomen Skin, External Approach",197,Trip,Olyfat,754-762-1917,2/25/2020,8/24/2022,Health Mart Pharmacy Childrens Cetirizine Hydrochloride
58177-679,198,Lumpfish Black,$74.32,"Removal of Nonautologous Tissue Substitute from Trachea, Via Natural or Artificial Opening",198,Tore,Britnell,484-107-3288,12/17/2022,9/1/2022,oxycodone hydrochloride
75905-001,199,Wine - Soave Folonari,$192.23,Beam Radiation of Thorax Lymphatics using Electrons,199,Davita,Sasser,394-614-9929,1/4/2020,5/9/2021,ULTRA CONTROL
67345-0691,200,"Wine - Red, Metus Rose",$330.59,"Dilation of Gastric Artery, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Endoscopic Approach",200,Petronia,Beadon,318-924-8974,11/3/2020,6/1/2019,Purminerals 4 in 1 Makeup SPF 15 Deeper
65601-776,201,Chinese Foods - Cantonese,$482.76,"Removal of Nonautologous Tissue Substitute from Mouth and Throat, Via Natural or Artificial Opening Endoscopic",201,Krysta,Kubecka,853-105-9049,8/5/2019,4/6/2019,Clario Instant Hand Sanitizer
35356-611,202,Radish - Pickled,$273.54,"Reposition Vagus Nerve, Percutaneous Endoscopic Approach",202,Sigismund,Canape,311-891-0613,5/20/2021,10/3/2021,NUCYNTA
14505-488,203,Macaroons - Homestyle Two Bit,$403.82,"Bypass Left Subclavian Artery to Right Lower Arm Artery with Autologous Venous Tissue, Open Approach",203,Onofredo,Lorrimer,797-191-8857,5/1/2020,3/24/2021,Bisolvine
33992-1203,204,Parsley - Fresh,$144.16,"Removal of Internal Fixation Device from Left Temporomandibular Joint, Percutaneous Approach",204,Randy,O'Fallon,386-132-1610,4/26/2020,9/26/2020,Orange Scented Hand Sanitizer
63459-416,205,Tuna - Bluefin,$308.48,"Destruction of Right Internal Iliac Artery, Percutaneous Approach",205,Adriano,Hartwright,217-334-9238,2/15/2022,2/10/2022,GABITRIL
55289-057,206,Lettuce - Treviso,$174.24,"Release Right Anterior Chamber, Percutaneous Approach",206,Wren,Terese,225-586-4829,1/26/2022,1/20/2021,Cephalexin
43269-712,207,Coffee - Hazelnut Cream,$212.13,"Revision of Autologous Tissue Substitute in Left Elbow Joint, External Approach",207,Mitchel,Campbell-Dunlop,313-607-4118,8/14/2019,9/14/2021,Cranberry Spice Antibacterial Foaming Hand Wash
49349-074,208,Steampan Lid,$406.35,"Bypass Spinal Canal to Urinary Tract with Synthetic Substitute, Open Approach",208,Ronald,Andreini,750-925-0688,9/23/2021,8/28/2021,Triamterene and Hydrochlorothiazide
43857-0323,209,"Shrimp - 16/20, Peeled Deviened",$217.25,"Alteration of Upper Back with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach",209,Merrily,Gothard,602-557-9354,1/21/2019,10/3/2021,Bio Chem Detox
57702-466,210,Wine - Two Oceans Cabernet,$415.25,"Dilation of Right Brachial Artery with Two Drug-eluting Intraluminal Devices, Percutaneous Approach",210,Boigie,Claworth,108-235-7359,1/10/2020,2/14/2019,Zylast Antiseptic Surgical Scrub
42508-263,211,"Wine - Red, Harrow Estates, Cab",$269.81,Fluoroscopy of Bilateral External Carotid Arteries using Low Osmolar Contrast,211,Elga,Arling,422-760-5537,12/25/2018,11/13/2021,Arbonne Baby Care
54575-218,212,Bay Leaf Ground,$449.79,"Excision of Right Kidney Pelvis, Percutaneous Approach",212,Taddeo,Gutsell,124-289-4419,4/28/2021,8/5/2020,RHODOTORULA MUCILAGINOSA
24236-110,213,"Wine - Red, Mouton Cadet",$64.83,"Transfer Right Elbow Bursa and Ligament, Open Approach",213,Doralyn,Raddenbury,658-706-7204,2/23/2021,12/16/2018,Promethazine Hydrochloride
52686-275,214,Pepper - Pablano,$373.02,"Release Left Upper Lung Lobe, Percutaneous Approach",214,Zorine,Louys,312-607-2518,4/2/2023,6/22/2021,CLE DE PEAU BEAUTE UV PROTECTION
35356-987,215,Cake - Pancake,$251.57,"Drainage of Abdominal Aorta with Drainage Device, Percutaneous Approach",215,Ezri,Leavold,547-791-8271,8/2/2022,1/23/2023,Orphenadrine Citrate
42268-3001,216,Mushroom - Porcini Frozen,$93.71,"Supplement Right Lower Eyelid with Synthetic Substitute, Open Approach",216,Gunther,Castelow,536-811-5490,2/21/2020,3/25/2023,TS (Talmostop) Talhwan
76354-007,217,Cheese - Mozzarella,$137.07,"Removal of Drainage Device from Upper Vein, Open Approach",217,Doralynne,Lanchberry,279-451-6438,12/6/2022,11/16/2019,ELF Mineral Foundation SPF 15
37205-587,218,Cheese - Mozzarella,$81.30,"Extirpation of Matter from Left Temporomandibular Joint, Open Approach",218,Rene,Rubbert,752-473-3824,2/1/2023,8/5/2021,leader nite time
0781-3059,219,"Pasta - Lasagna Noodle, Frozen",$129.56,"Insertion of Radioactive Element into Left Hand, Percutaneous Approach",219,Susanne,Bowe,716-911-2545,12/28/2018,12/6/2018,Digoxin
54868-6255,220,Miso - Soy Bean Paste,$208.89,Range of Motion and Joint Integrity Assessment of Neurological System - Whole Body using Other Equipment,220,Johannes,Patifield,641-429-7230,8/23/2020,11/21/2021,Nateglinide
63323-924,221,"Rice Pilaf, Dry,package",$372.62,"Removal of Infusion Device from Right Knee Joint, Open Approach",221,Sibyl,Eckly,132-819-1047,4/26/2020,6/19/2019,Bacteriostatic Sodium Chloride
53808-0279,222,Bread - Calabrese Baguette,$120.40,Laser Interstitial Thermal Therapy of Diaphragm,222,Dur,Cowpland,230-683-6997,5/3/2022,1/16/2021,Levothyroxine Sodium
49702-222,223,Cheese - Gouda Smoked,$440.16,"Destruction of Right Vertebral Vein, Percutaneous Endoscopic Approach",223,Darda,Lunt,398-931-9022,3/7/2021,1/28/2022,ZIAGEN
36987-1379,224,Sprouts - Pea,$321.20,"Excision of Left Patella, Percutaneous Approach, Diagnostic",224,Chrisy,Revan,380-248-5524,4/22/2020,2/3/2019,Watermelon
53440-005,225,Soup Campbells Turkey Veg.,$259.02,"Repair Sciatic Nerve, Percutaneous Approach",225,Linnie,Jeffers,232-814-3888,9/21/2018,8/5/2019,Air
42339-002,226,Curry Paste - Green Masala,$4.92,"Excision of Right Tympanic Membrane, Percutaneous Endoscopic Approach, Diagnostic",226,Creight,Whitlaw,466-362-4954,2/23/2019,4/19/2023,Povidone-Iodine Pad
64725-0315,227,Sea Urchin,$84.13,"Restriction of Splenic Artery, Open Approach",227,Bevvy,Blundell,886-852-8607,5/20/2021,12/6/2021,Divalproex Sodium Extended-Release
0591-3497,228,Sorrel - Fresh,$60.65,"Fragmentation in Cerebral Ventricle, Percutaneous Endoscopic Approach",228,Rubia,Legister,494-495-3725,10/18/2022,1/19/2023,Galantamine hydrobromide
37205-828,229,Scallop - St. Jaques,$386.41,Plain Radiography of Skull,229,Livvyy,Blind,460-802-3256,1/31/2021,5/14/2021,leader cold head congestion
0093-4742,230,Table Cloth - 53x69 Colour,$63.40,"Replacement of Left Posterior Tibial Artery with Autologous Tissue Substitute, Open Approach",230,Davon,Iacovacci,187-168-0766,10/19/2022,11/17/2022,Citalopram
37808-199,231,Ginger - Crystalized,$394.58,"Drainage of Right Upper Extremity Lymphatic, Percutaneous Approach",231,Aldridge,Kettlesting,462-455-4384,9/1/2022,7/21/2022,miconazole 1
66336-834,232,"Olives - Green, Pitted",$256.25,"Reposition Right Neck Muscle, Open Approach",232,Lawrence,Bodycombe,218-257-7657,1/14/2021,1/10/2019,Baclofen
57955-2291,233,"Wine - Red, Antinori Santa",$394.26,"Fusion of Lumbosacral Joint with Nonautologous Tissue Substitute, Posterior Approach, Anterior Column, Percutaneous Approach",233,Melamie,Hupka,332-321-5436,11/9/2022,1/11/2020,Immature
55910-161,234,Eggroll,$203.84,"Bypass Gallbladder to Duodenum with Intraluminal Device, Open Approach",234,Robin,Ferri,202-337-4343,10/29/2019,4/9/2023,dg health infants pain and fever
68814-128,235,Chicken Breast Halal,$327.80,"Dilation of Middle Colic Artery with Three Drug-eluting Intraluminal Devices, Percutaneous Approach",235,Morrie,Hiley,170-972-4099,11/14/2021,11/7/2021,Karanja Tree Sunshield SPF 30
0409-4776,236,Nantucket - Pomegranate Pear,$175.00,"Bypass Right Internal Iliac Artery to Right Internal Iliac Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach",236,Brent,Enticott,144-345-1533,2/21/2019,2/2/2023,Lidocaine Hydrochloride
65044-2487,237,Beans - Fava Fresh,$107.91,"Excision of Upper Gingiva, Open Approach",237,Kerrill,Winslade,204-576-0419,1/29/2022,7/25/2020,"Pollens - Weeds and Garden Plants, Scotch Broom Cytisus scoparius"
12546-720,238,Salami - Genova,$425.68,"Restriction of Left Neck Lymphatic with Extraluminal Device, Percutaneous Endoscopic Approach",238,Shellysheldon,Colum,328-267-8927,1/22/2020,1/19/2022,Halls
43846-0009,239,Vinegar - Sherry,$333.08,"Revision of Drainage Device in Trachea, Via Natural or Artificial Opening",239,Web,Maghull,411-379-5484,5/30/2022,6/17/2020,Back and Neck Rescue
36987-1102,240,Jello - Assorted,$188.97,"Excision of Left External Auditory Canal, Via Natural or Artificial Opening Endoscopic, Diagnostic",240,Puff,Fishley,168-967-6766,3/12/2020,12/31/2018,Rabbit Epithelium
11584-0476,241,Banana,$31.96,"Insertion of Reservoir into Chest Subcutaneous Tissue and Fascia, Open Approach",241,Salvidor,Crommett,973-619-7324,12/29/2018,3/22/2023,Relagesic
45146-110,242,Sour Puss Raspberry,$157.74,"Drainage of Left Anterior Tibial Artery, Percutaneous Approach",242,Yale,Senescall,943-731-3880,9/23/2020,3/14/2022,Orabloc
54868-5916,243,Vinegar - Sherry,$496.13,"Insertion of Radioactive Element into Retroperitoneum, Percutaneous Approach",243,Gennifer,Enoch,233-712-4368,11/8/2022,9/22/2019,Vyvanse
51346-176,244,Onions - Vidalia,$55.55,"Extirpation of Matter from Head Muscle, Percutaneous Endoscopic Approach",244,Kelsey,Mille,622-866-7870,4/29/2019,10/16/2019,HAND AND NATURE ANTI WRINKLE HAND
42291-701,245,"Coffee - Beans, Whole",$497.18,"Drainage of Perineum Tendon, Percutaneous Approach",245,Keenan,Mungan,227-815-1661,4/22/2019,1/8/2023,Quinapril
69033-001,246,"Pork - Bacon, Sliced",$105.79,"Reattachment of Left Knee Tendon, Percutaneous Endoscopic Approach",246,Josephina,MacGorman,633-640-5436,4/20/2021,6/20/2020,La mer Hand Sanitizer
57525-011,247,Wine - Shiraz South Eastern,$160.94,"Revision of Implantable Heart Assist System in Heart, Open Approach",247,Donnajean,Warfield,453-459-9785,10/5/2022,5/31/2021,RITUALS precious mineral foundation broad spectrum SPF 15 sunscreen SHADE 11
55154-5611,248,Spring Roll Veg Mini,$388.80,"Extirpation of Matter from Right Trunk Bursa and Ligament, Percutaneous Approach",248,Milty,Seebert,710-560-0950,4/14/2023,7/24/2019,Klor-Con M20
42192-336,249,Muffin Chocolate Individual Wrap,$125.77,"Supplement Bilateral Inguinal Region with Nonautologous Tissue Substitute, Open Approach",249,Kiel,Chsteney,407-192-5674,1/22/2022,10/28/2021,Chlordiazepoxide Hydrochloride And Clidinium Bromide
48951-4093,250,Chicken - Base,$27.87,"Excision of Vestibular Gland, External Approach, Diagnostic",250,Laurena,Threadgold,301-399-0718,7/2/2022,3/2/2023,Fragaria Vitis Liver Support
63941-261,251,"Cheese - Havarti, Roasted Garlic",$68.95,"Revision of Intraluminal Device in Ureter, Via Natural or Artificial Opening",251,Matthew,Flecknell,269-750-4275,6/27/2020,3/29/2021,Childrens Ibuprofen
68084-149,252,Mussels - Frozen,$390.08,"Revision of Extraluminal Device in Fallopian Tube, Via Natural or Artificial Opening Endoscopic",252,Miguelita,Jonuzi,753-588-1427,1/15/2022,1/21/2023,MethylPREDNISolone
42002-419,253,Paper Towel Touchless,$253.98,Beam Radiation of Hypopharynx using Photons <1 MeV,253,Del,Duer,557-355-1144,10/22/2022,7/1/2022,Listerine
65517-0002,254,"Water - Mineral, Carbonated",$270.65,"Destruction of Left Main Bronchus, Via Natural or Artificial Opening",254,Amelie,Bech,970-237-4005,5/2/2019,3/9/2023,Dukal Sterile Alcohol Prep Pad
55312-034,255,Container Clear 8 Oz,$236.99,"Extirpation of Matter from Lower Artery, Percutaneous Approach",255,Emmalee,Rylstone,343-288-6483,10/15/2018,3/24/2022,WESTERN FAMILY HEMORRHOIDAL
68047-714,256,Puff Pastry - Sheets,$185.80,"Destruction of Bilateral Vas Deferens, Percutaneous Approach",256,Merl,Tissiman,617-236-7351,9/6/2019,2/25/2021,Doxycycline Hyclate
68151-0648,257,"Cake Circle, Paprus",$438.34,Plain Radiography of Right Brachiocephalic-Subclavian Artery using Low Osmolar Contrast,257,Adriena,Lukasen,964-304-1463,2/13/2023,8/15/2020,Senna
10191-1252,258,"Sugar - Brown, Individual",$113.24,"Drainage of Right Greater Saphenous Vein with Drainage Device, Percutaneous Approach",258,Hart,Fero,704-415-5410,3/16/2021,9/14/2021,ARNICA MONTANA
41250-766,259,Cookie - Dough Variety,$181.56,"Occlusion of Esophagus with Intraluminal Device, Via Natural or Artificial Opening Endoscopic",259,Burtie,Ferronier,418-442-2778,3/26/2021,9/22/2022,pain and fever
35356-064,260,Bread - White Mini Epi,$247.80,"Drainage of Right Inguinal Lymphatic with Drainage Device, Percutaneous Approach",260,Hewett,Cossington,325-764-6722,3/18/2021,4/11/2022,Atripla
59779-516,261,"Juice - Orange, Concentrate",$446.08,"Supplement Pericardium with Zooplastic Tissue, Open Approach",261,Randi,Laise,542-469-6332,9/13/2019,5/21/2019,CVS Tussin CF
55154-3679,262,Wine - Beringer Founders Estate,$159.81,Coordination/Dexterity Treatment of Integumentary System - Whole Body using Prosthesis,262,Les,Wordington,306-928-1436,12/14/2020,9/16/2019,Carvedilol
68180-337,263,Salt And Pepper Mix - Black,$448.72,"Extirpation of Matter from Right Radial Artery, Percutaneous Approach",263,Tildi,Killwick,316-510-9088,1/14/2023,12/26/2021,Metformin Hydrochloride
0781-5726,264,"Pepper - Green, Chili",$376.42,"Repair Right Vertebral Vein, Percutaneous Endoscopic Approach",264,Enrica,Ludwikiewicz,240-350-8871,4/7/2022,10/4/2019,oxycodone hydrochloride
0378-0092,265,Wine - Guy Sage Touraine,$94.81,"Drainage of Right Lower Arm with Drainage Device, Open Approach",265,Lucien,Conew,703-965-4488,6/17/2020,11/29/2021,Maprotiline Hydrochloride
